industry_code,Variable
M,Operating profit before tax
M,Total assets
M,Fixed tangible assets
M,Activity unit
M,Rolling mean employees
M,Salaries and wages paid
M,"Sales, government funding, grants and subsidies"
M,Total income
M,Total expenditure
M,Operating profit before tax
M,Total assets
M,Fixed tangible assets
M,Activity unit
M,Rolling mean employees
M,Salaries and wages paid
M,"Sales, government funding, grants and subsidies"
M,Total income
M,Total expenditure
M,Operating profit before tax
M,Total assets
M,Fixed tangible assets
M,Activity unit
M,Rolling mean employees
M,Salaries and wages paid
M,"Sales, government funding, grants and subsidies"
M,Total income
M,Total expenditure
M,Operating profit before tax
M,Total assets
M,Fixed tangible assets
M,Activity unit
M,Rolling mean employees
M,Salaries and wages paid
M,"Sales, government funding, grants and subsidies"
M,Total income
M,Total expenditure
M,Operating profit before tax
M,Total assets
M,Fixed tangible assets
M,Activity unit
M,Rolling mean employees
M,Salaries and wages paid
M,"Sales, government funding, grants and subsidies"
M,Total income
M,Total expenditure
M,Operating profit before tax
M,Total assets
M,Fixed tangible assets
M,Activity unit
M,Rolling mean employees
M,Salaries and wages paid
M,"Sales, government funding, grants and subsidies"
M,Total income
M,Total expenditure
M,Operating profit before tax
M,Total assets
M,Fixed tangible assets
N,Activity unit
N,Rolling mean employees
N,Salaries and wages paid
N,"Sales, government funding, grants and subsidies"
N,Total income
N,Total expenditure
N,Operating profit before tax
N,Total assets
N,Fixed tangible assets
N,Activity unit
N,Rolling mean employees
N,Salaries and wages paid
N,"Sales, government funding, grants and subsidies"
N,Total income
N,Total expenditure
N,Operating profit before tax
N,Total assets
N,Fixed tangible assets
N,Activity unit
N,Rolling mean employees
N,Salaries and wages paid
N,"Sales, government funding, grants and subsidies"
N,Total income
N,Total expenditure
N,Operating profit before tax
N,Total assets
N,Fixed tangible assets
N,Activity unit
N,Rolling mean employees
N,Salaries and wages paid
N,"Sales, government funding, grants and subsidies"
N,Total income
N,Total expenditure
N,Operating profit before tax
N,Total assets
N,Fixed tangible assets
N,Activity unit
N,Rolling mean employees
N,Salaries and wages paid
N,"Sales, government funding, grants and subsidies"
N,Total income
N,Total expenditure
N,Operating profit before tax
N,Total assets
N,Fixed tangible assets
N,Activity unit
N,Rolling mean employees
N,Salaries and wages paid
N,"Sales, government funding, grants and subsidies"
N,Total income
N,Total expenditure
N,Operating profit before tax
N,Total assets
N,Fixed tangible assets
N,Activity unit
N,Rolling mean employees
N,Salaries and wages paid
N,"Sales, government funding, grants and subsidies"
N,Total income
N,Total expenditure
N,Operating profit before tax
N,Total assets
N,Fixed tangible assets
N,Activity unit
N,Rolling mean employees
N,Salaries and wages paid
N,"Sales, government funding, grants and subsidies"
N,Total income
N,Total expenditure
N,Operating profit before tax
N,Total assets
N,Fixed tangible assets
N,Activity unit
N,Rolling mean employees
N,Salaries and wages paid
N,"Sales, government funding, grants and subsidies"
N,Total income
N,Total expenditure
N,Operating profit before tax
N,Total assets
N,Fixed tangible assets
O,Activity unit
O,Rolling mean employees
O,Salaries and wages paid
O,"Sales, government funding, grants and subsidies"
O,Total income
O,Total expenditure
O,Operating profit before tax
O,Total assets
O,Fixed tangible assets
O,Activity unit
O,Rolling mean employees
O,Salaries and wages paid
O,"Sales, government funding, grants and subsidies"
O,Total income
O,Total expenditure
O,Operating profit before tax
O,Total assets
O,Fixed tangible assets
O,Activity unit
O,Rolling mean employees
O,Salaries and wages paid
O,"Sales, government funding, grants and subsidies"
O,Total income
O,Total expenditure
O,Operating profit before tax
O,Total assets
O,Fixed tangible assets
O,Activity unit
O,Rolling mean employees
O,Salaries and wages paid
O,"Sales, government funding, grants and subsidies"
O,Total income
O,Total expenditure
O,Operating profit before tax
O,Total assets
O,Fixed tangible assets
O,Activity unit
O,Rolling mean employees
O,Salaries and wages paid
O,"Sales, government funding, grants and subsidies"
O,Total income
O,Total expenditure
O,Operating profit before tax
O,Total assets
O,Fixed tangible assets
O,Activity unit
O,Rolling mean employees
O,Salaries and wages paid
O,"Sales, government funding, grants and subsidies"
O,Total income
O,Total expenditure
O,Operating profit before tax
O,Total assets
O,Fixed tangible assets
O,Activity unit
O,Rolling mean employees
O,Salaries and wages paid
O,"Sales, government funding, grants and subsidies"
O,Total income
O,Total expenditure
O,Operating profit before tax
O,Total assets
O,Fixed tangible assets
O,Activity unit
O,Rolling mean employees
O,Salaries and wages paid
O,"Sales, government funding, grants and subsidies"
O,Total income
O,Total expenditure
O,Operating profit before tax
O,Total assets
O,Fixed tangible assets
O,Activity unit
O,Rolling mean employees
O,Salaries and wages paid
O,"Sales, government funding, grants and subsidies"
O,Total income
O,Total expenditure
O,Operating profit before tax
O,Total assets
O,Fixed tangible assets
P,Activity unit
P,Rolling mean employees
P,Salaries and wages paid
P,"Sales, government funding, grants and subsidies"
P,Total income
P,Total expenditure
P,Operating profit before tax
P,Total assets
P,Fixed tangible assets
P,Activity unit
P,Rolling mean employees
P,Salaries and wages paid
P,"Sales, government funding, grants and subsidies"
P,Total income
P,Total expenditure
P,Operating profit before tax
P,Total assets
P,Fixed tangible assets
P,Activity unit
P,Rolling mean employees
P,Salaries and wages paid
P,"Sales, government funding, grants and subsidies"
P,Total income
P,Total expenditure
P,Operating profit before tax
P,Total assets
P,Fixed tangible assets
P,Activity unit
P,Rolling mean employees
P,Salaries and wages paid
P,"Sales, government funding, grants and subsidies"
P,Total income
P,Total expenditure
P,Operating profit before tax
P,Total assets
P,Fixed tangible assets
P,Activity unit
P,Rolling mean employees
P,Salaries and wages paid
P,"Sales, government funding, grants and subsidies"
P,Total income
P,Total expenditure
P,Operating profit before tax
P,Total assets
P,Fixed tangible assets
P,Activity unit
P,Rolling mean employees
P,Salaries and wages paid
P,"Sales, government funding, grants and subsidies"
P,Total income
P,Total expenditure
P,Operating profit before tax
P,Total assets
P,Fixed tangible assets
P,Activity unit
P,Rolling mean employees
P,Salaries and wages paid
P,"Sales, government funding, grants and subsidies"
P,Total income
P,Total expenditure
P,Operating profit before tax
P,Total assets
P,Fixed tangible assets
P,Activity unit
P,Rolling mean employees
P,Salaries and wages paid
P,"Sales, government funding, grants and subsidies"
P,Total income
P,Total expenditure
P,Operating profit before tax
P,Total assets
P,Fixed tangible assets
P,Activity unit
P,Rolling mean employees
P,Salaries and wages paid
P,"Sales, government funding, grants and subsidies"
P,Total income
P,Total expenditure
P,Operating profit before tax
P,Total assets
P,Fixed tangible assets
Q,Activity unit
Q,Rolling mean employees
Q,Salaries and wages paid
Q,"Sales, government funding, grants and subsidies"
